FID_1,Lat,Lon,built_rati,2015power
1,18.25,109.0625,0.00905797,5068.636117
2,18.25,109.375,0.0604592,113705.037
3,18.25,109.6875,0.0108696,12546.92156
5,18.5,108.75,0.0140306,70080.48565
6,18.5,109.0625,0.00258799,11106.70264
7,18.5,109.375,0,0
8,18.5,109.6875,0.00362319,10860.17597
9,18.5,110,0.0257653,102833.7504
10,18.5,110.3125,0,0
11,18.75,108.75,0.00519481,14792.89992
12,18.75,109.0625,0.000527009,923.9592934
13,18.75,109.375,0,0
14,18.75,109.6875,0.00210804,1533.453645
15,18.75,110,0,0
16,18.75,110.3125,0.0126482,37194.1298
17,18.75,110.625,0,0
18,19,108.75,0.0359694,223314.1585
19,19,109.0625,0,0
20,19,109.375,0,0
21,19,109.6875,0.00181159,463.0945778
22,19,110,0.00102041,1485.467597
23,19,110.3125,0.000517598,1738.979824
24,19,110.625,0.000765306,992.1021908
25,19.25,108.75,0.00943878,66533.19096
26,19.25,109.0625,0.00802277,37508.301
27,19.25,109.375,0.00382653,18866.154
28,19.25,109.6875,0,0
29,19.25,110,0.00688775,28360.03994
30,19.25,110.3125,0.00750518,30144.06951
31,19.25,110.625,0.00663265,20358.55372
32,19.5,108.75,0.00025974,216.9773661
33,19.5,109.0625,0.00237154,19426.27604
34,19.5,109.375,0.0025974,24422.68142
35,19.5,109.6875,0.0284585,218448.6697
36,19.5,110,0.00207792,15079.04778
37,19.5,110.3125,0.00263505,20150.41114
38,19.5,110.625,0.00285714,23740.99912
39,19.5,110.9375,0.00415584,3766.848472
40,19.75,109.0625,0.0178571,12599.00307
41,19.75,109.375,0.00841837,63137.67398
42,19.75,109.6875,0.00414079,45353.38032
43,19.75,110,0.0132653,117385.2201
44,19.75,110.3125,0.0165631,131900.1972
45,19.75,110.625,0.00586735,53775.5213
46,19.75,110.9375,0.000510204,2967.814959
47,20,109.375,0.000510204,71.08310444
48,20,109.6875,0.0134576,47307.50464
49,20,110,0.0117347,30084.71978
50,20,110.3125,0.185818,1273786.571
51,20,110.625,0.0107143,65468.76318
52,20,110.9375,0,0
54,20.25,110,0.00415584,9333.509628
55,20.25,110.3125,0.0142292,44318.38158
57,20.5,109.6875,0,0
58,20.5,110,0.00484694,27213.61357
59,20.5,110.3125,0,0
60,20.5,110.625,0.000255102,227.0377098
61,20.75,109.6875,0.000776398,1393.644697
62,20.75,110,0.00867347,59399.03417
63,20.75,110.3125,0.00465839,15987.90054
64,20.75,110.625,0.000255102,11.09605728
67,21,109.0625,0,0
69,21,109.6875,0.00237154,7124.976397
70,21,110,0.0285714,200773.0849
71,21,110.3125,0.0118577,29925.07709
72,21,110.625,0.0135065,30675.78384
73,21.25,101.25,0,0
74,21.25,101.5625,0,0
75,21.25,101.875,0,0
76,21.25,109.6875,0.00310559,4417.620145
77,21.25,110,0.0104592,65366.73882
78,21.25,110.3125,0.14001,904349.2668
79,21.25,110.625,0.0234694,72182.40215
82,21.5,100.3125,0,0
83,21.5,100.625,0.0102041,4020.332492
85,21.5,101.25,0,0
86,21.5,101.5625,0.00439959,359.6195147
88,21.5,107.5,0,0
89,21.5,107.8125,0.00714286,1109.312265
90,21.5,108.125,0.00776398,10285.89831
91,21.5,108.4375,0.00663265,2611.038249
92,21.5,108.75,0,0
93,21.5,109.0625,0.0872153,194452.9173
94,21.5,109.375,0.0201531,92317.60262
95,21.5,109.6875,0.00439959,8479.681774
96,21.5,110,0.0196429,107323.0699
97,21.5,110.3125,0.0460663,296228.2711
98,21.5,110.625,0.0451531,288122.6423
99,21.5,110.9375,0.0903061,546278.441
100,21.5,111.25,0.00802277,22097.96502
101,21.5,111.5625,0.00229592,3445.00546
102,21.5,111.875,0.00284679,889.616523
104,21.5,112.5,0,0
105,21.5,112.8125,0,0
