省（区、市）,市（区）,县,项目名称,所属基地,项目类型,项目阶段,核准容量（MW）,核准日期（年/月/日）,开工日期（年/月/日）,累计吊装容量（MW）,首次并网日期（年/月/日）,全部并网日期（年/月/日）,并网容量（MW）,项目公司,所属集团,备注,并网年份
北京市,北京辖县,延庆县,北京官厅风电场一期工程,,陆上集中式,已并网,49.5,2006/8/7,2007/11/1,49.5,2008/1/20,2008/3/10,49.5,北京京能清洁能源电力股份有限公司,京能,,2008
北京市,北京辖县,延庆县,北京官厅风电场二期加密工程,,陆上集中式,已并网,36,2009/5/31,2009/6/1,36,2010/1/1,2010/1/27,36,北京京能清洁能源电力股份有限公司,京能,,2010
北京市,北京辖县,延庆县,北京官厅风电场二期工程,,陆上集中式,已并网,49.5,2008/1/1,2008/5/1,49.5,2010/1/1,2010/1/27,49.5,北京京能清洁能源电力股份有限公司,京能,,2010
北京市,北京辖县,延庆县,北京延庆低风速示范风电场,,陆上集中式,已并网,15,2008/4/10,2008/8/1,15,2008/7/15,2008/7/19,15,北京京能清洁能源电力股份有限公司,京能,,2008
北京市,北京辖县,延庆县,北京鹿鸣山官厅风电场三期49.5兆瓦工程,,陆上集中式,已并网,49.5,2013/1/16,2013/5/1,36,2015/9/25,2015/11/1,36,北京京能清洁能源电力股份有限公司,京能,,2015
北京市,北京辖区,昌平区,大唐青灰岭风光发电示范项目49.7兆瓦工程,,陆上集中式,在建,49.7,2015/6/3,2017/11/1,,,,,大唐昌裕（北京）新能源有限公司,大唐新能源,,2019
天津市,天津辖县,宁河区,京能天津板桥50MW集中式风力发电项目,,陆上集中式,核准未开工,48,2019/7/24,,,,,,天津京河新能源有限公司,京能,,2019
天津市,天津辖县,宁河区,京能天津苗庄80MW集中式风电项目,,陆上集中式,核准未开工,80,2019/7/24,,,,,,天津京能新能源有限公司,京能,,2019
天津市,天津辖区,滨海新区,晶虹新能源大港太平镇刘庄村分散式风电项目,,陆上分散式,核准未开工,10,2019/12/24,,,,,,天津晶虹新能源有限公司,其他投资企业,,2019
天津市,天津辖县,静海县,静海中旺镇100MW风力发电项目,,陆上集中式,核准未开工,100,2018/4/27,2019/5/1,,,,,天津市宝得利新能源科技发展有限公司,其它投资企业,,2019
天津市,天津辖区,滨海新区,龙源天津滨海新区大苏庄风电场项目,,陆上集中式,核准未开工,37.4,2016/12/27,,,,,,天津龙源风力发电有限公司,国电龙源,,2019
天津市,天津辖区,滨海新区,龙源天津滨海新区大苏庄风二期电场项目,,陆上集中式,核准未开工,72,2018/12/11,,,,,,天津龙源风力发电有限公司,国电龙源,,2019
天津市,天津辖区,滨海新区,龙源天津滨海新区小王庄风电项目,,陆上集中式,核准未开工,45,2019/8/23,,,,,,天津龙源风力发电有限公司,国电龙源,,2019
天津市,天津辖区,宁河区,中广核天津宁风40MW风力发电项目,,陆上集中式,核准未开工,40,2019/12/26,,,,,,中广核新能源投资（深圳）有限公司,中广核,,2019
天津市,天津辖县,宁河区,宁河东棘坨20MW分散式风电项目,,陆上分散式,核准未开工,20,2019/3/28,,,,,,天津市阳宁新能源有限公司,其它投资企业,,2019
天津市,天津辖县,宁河区,宁河区板桥镇小新河12MW分散式风电项目,,陆上分散式,核准未开工,12,2019/5/14,,,,,,天津宁河区道裕风力发电有限公司,其他投资企业,,2019
天津市,天津辖县,宁河区,宁河区东棘坨50MW风电项目,,陆上集中式,核准未开工,50,2019/3/28,2019/11/1,,,,,天津市宁河区智风新能源科技有限公司,其他投资企业,,2019
天津市,天津辖县,宁河区,宁河镇18MW分散式风力发电项目,,陆上分散式,核准未开工,18,2019/4/13,2020/4/1,,,,,天津陆风新能源科技有限公司,其它投资企业,,2019
天津市,天津辖区,宁河区,中广核天津宁龙35MW风力发电项目,,陆上集中式,核准未开工,35,2019/10/9,,,,,,中广核新能源投资（深圳）有限公司,中广核,,2019
天津市,天津辖区,大港区,天津北大港一期49.5MW风电工程项目,,陆上集中式,核准未开工,49.5,2013/8/27,,,,,,天津国电洁能电力有限公司,国电集团,,2019
天津市,天津辖县,宁河区,天津清之风廉庄镇分散式风力发电项目,,陆上分散式,核准未开工,15,2019/1/30,2019/11/1,,,,,天津清之风新能源科技有限公司,其它投资企业,,2019
天津市,天津辖县,宁河区,天津市宁河区苗庄镇4MW分散式风电项目,,陆上分散式,核准未开工,4,2019/8/23,,,,,,天津聚静新能源科技有限公司,其他投资企业,,2019
